description,fraudulent
"Want to work in a fast-paced, dynamic environment where your efforts are rewarded?We are hiring FULL TIME call center sales representatives in Stratford, NJ. Just a 20 min drive or ride on the PATCO Speedline from downtown Philly.The average rep earns $15/hour, and our most successful reps earn $20+/hour.REGISTER FOR AN INTERVIEW-Call us: #PHONE_0814f032f01156c9557f6d4239ae10ac57a7260aada4d863cb1db34574f86466#, ext 1-Register online atÂ #URL_318d3b93e27acec288f845b4f8ddc786c2afcf796bc3b547a1e942902a4fb881#WANT MORE INFO?-Call us: #PHONE_0814f032f01156c9557f6d4239ae10ac57a7260aada4d863cb1db34574f86466#, ext 3-Email us: jobsATworkamericaDOTco (Not .com)",1
"Job Description: Candidate should have a strong background and hands-on experience in one of the following disciplines: offshore pipelines, offshore structures, subsea construction, riser, umbilical, flowline engineering or naval architecture.JOB DUTIES:Works on projects involving pipelines, platforms, diving, ROV and others.Works under supervision of the Project Engineer.Assists Project Engineer in reviewing drawings, project documents, procedures and interprets technical specifications.Creates installation procedures and other project documents.Assists in performing HAZID's and constructability reviews.Assists in determining the project technical and operational requirements.Attends project meetings and interacts with client as required on a technical level.Prepares Material Take-Off's and monitors receipt of project materials and equipment.Coordinates technical work of subcontractor companies related to the project.Assist with coordinating engineering and drafting efforts.erforms general design calculations on project specific items e.g. padeyes, stanchions, etc.Support offshore project execution offshore as needed.",1
"Experienced, reliable team members are needed for our Data Entry Clerk / Administrative Assistant needed! We are currently searching for candidates with previous experience and/or motivated quick learners. These positions require a friendly phone personality, great attention to detail and the ability to work quickly and efficiently. This is a customer contact position that requires patience, a great phone demeanor, excellent verbal and written communications, and reliable work attendance.Key Aspects of Position:Provide extraordinary service to our customers at all times.Work as part of a Customer Service team.Other duties as assigned.",1
"A active and dynamic recruitment company, seeking a Assistant Accountant. We are looking for communicative and motivated employees for immediate start. Only excellent candidates need apply as this is a permanent position with the for significant promising career. Optical Training will be provided, but you must be eager to learn and have the ability to work effectively in a our environment from your first day.",1
"Apply using below link#URL_1958223945a232b3864e048c3bb2b0a89ad22ff74cc4c360c57613aa0eb96282#OR Specialty Coordinator â€¢ A premier healthcare systemâ€¢ A compassionate mission of healingâ€¢ Dynamic Maryland/Washington D.C. marketPursue Excellence. Practice with Compassion. Here, at Washington Adventist Hospital, combining medical excellence and a clear passion for caring is what it's all about. It involves not only applying the latest techniques and technologies, but treating the whole person - mind, body and spirit. It means being empowered to deliver care that changes people - both patients and healthcare professionals. Take a moment to get in on the career conversation at Washington Adventist Hospital located in Takoma Park, Maryland (just minutes from Washington, DC).We are seeking an OR Specialty Coordinator to delegate and coordinate perioperative patient care for the Cardiac, Vascular and Thoracic service lines. Our desired candidate will assume responsibility for the management of clinical operations which include supporting perioperative activities and allocating human resources on a 24-hour basis. You will also ensure that competent perioperative care is delivered by those who are trained according to the patient population, level of technology required, complexity of care needs and age of patient.",1
"We provide No Credit Check Financing to customers of Small and Medium size Businesses and can help 90% of the industries from Auto Mechanics to Dentists and Lawyers.We are seeking skilled Account Managers to grow with us and help us achieve our goals in this new and exciting industry.This is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.Our people enjoy a flexible work environment. High earnings with great incentives like corporate retreats and quick advancement opportunities.",1
"Job Title: Customer Service Representative Position Type: Full-Time Short Description: Customer Service Representative Complete Description: The Customer Service Representative is the primary point of contact for an assigned group of customer accounts. The purpose of the Customer Service function is to serve as the face to the customer in providing value added services that grow our business. Individuals in this position respond to and manage internal and external customer requests, orders, concerns, suggestions and complaints. Internally, the CSR interacts, gathers information and coordinates related activities with sales staff, production planning, logistics, technical services and external vendors. The CSR must be aware of Lean Six Sigma principles and initiatives and must take responsibility and use sound judgment in decision making and problem solving. As representativesCorporation, individuals in this position are required to follow and communicate business practices to customers and demonstrate the Code of Conduct, ethics and values on a daily basis and customer information must be kept appropriately confidential. Work is done autonomously on a day-to-day basis and requiresfive years experience.",1
"OFFER Part Time Positions (Cash In Hand)You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $350 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",1
"inFullMobile sp. z o.o. is a mobile software development house, specializing in the client side of mobile software for clients all around the globe. We are a young company, where you can make the difference, the company structure is horizontal so everyone has a say. We are looking for the best of the best ObjC developers, some out of the box thinking, the courage to get involved with the bleeding edge technologies and projects.",1
"Urgent Jobs (Part Time Workers Needed)You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $400 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_ccd7aef9e33b496680f89b14a30f7d824e3d66f96ebff67ac0bb5a80e4c22cdb#",1
"Administrative AssistantEssential Job Responsibilities:Answering and routing telephone calls to appropriate peopleScheduling appointmentsMaintain paper and electronic filing systems for records and messagesLimited courier responsibilitiesPerform any additional duties as assigned or requestedRequired Qualifications:At least two years of experience and knowledge to perform essential job functions assignedAble to work in a fast-pace environment and be able to multi-taskExcellent communication skills and computer knowledge (QuickBooks a plus)Well organized, highly dependable, and efficientMust have problem solving skills and be detailed orientedMaintain respect at all times for confidential informationStarting pay $25/HrBenefits:401K Plan with company matchingMedical, Dental, Vision coverageVacation PayDisability insuranceLong-term care insuranceGrowth Opportunities",1
"Apply using below link#URL_c04b2229c8b4503a61af5d94e93b296b417c6dc2f7a0d93e80aabd62854cb337#We are currently seeking a dynamic individual with excellent communication skills looking for an exciting career opportunity. I.D. Images was founded in 1995, and is a leading manufacturer of converted label media for the Variable Information Printing (VIP) market. We specialize in providing label solutions for product and package identification across varied markets including Transport and Logistics, Retail, Food and Beverage, Office Products, Consumer Durables and Healthcare.I.D. Images offers a comprehensive product offering for VIP printing technologies including: Thermal Transfer, Ribbons, Direct Thermal, Ink Jet and Laser Cut Sheet media, on various paper and film or synthetic substrates.We offer a very comprehensive benefit package which includes: vacation, 401K, tuition reimbursement, health, vision and dental insurance. The salary for this position will be commensurate with individual experience.*All jobs will require passing of a background/drug examQUALIFICATIONS:Skills and Requirements:Â· Excellent communication skillsÂ· Strong computer and math SkillsÂ· Ability to travel up to 50% during the weekRelationships and Roles:Maintain contact with all clients in the market area to ensure high levels of Client Satisfaction.Demonstrate ability to interact and cooperate with all company employees.Build trust, value others, communicate effectively, drive execution, foster innovation, focus on the customer, collaborate with others, solve problems creatively and demonstrate high integrity.Maintain professional internal and external relationships that meet company core values.Proactively establish and maintain effective working team relationships with all support departments.",1
"Maverick FX, established in 1997, is an award-winning trading firm that focuses that focuses primarily on trading short to intermediate time frames in the spot currency market. We are currently seeking Accounting ClerksThe Accounting clerk will work in a team environment providing general clerical, accounting and office support. Primary duties will include but are not limited to: data entry (both numerical and alphabetical) , filing, bank statement reconciliation. Generating clientâ€™s monthly financial statements. Handling Rebates The hours of the position are 8:00-1:00 M-F . This is an excellent entry level growth opportunity for someone with an interest in Accounting.Desired Skills/ Experience/AttributesProven track record of dependability and reliabilityExperience with a 10-key calculator, Microsoft Word and Excel preferredQuickBooks knowledge a plusInterest or experience in Accounting preferredKnowledge of bank reconciliation a plusWill be responsible for General Ledger EntriesWill be responsible for Handling REBATESGenerating monthly financial statements",1
"2018Job Title: CNC ProgrammerRole: Project ManagerRelocation Available: YesIndustry: ManufacturingLocation: IowaTown / City: Des MoinesJob Type: Permanent full-timeJob description:We are looking for a CNC programmer who can design and program complex 3D shapes and program electrodes. Â Â CNC Programmer:25 plus year old molding company specializing in 2-shot, insert micro, and micro molding and serving the medical, micro-electronics, micro-optics, automotive electronics, military, and aerospace markets.Â Â They provide design for manufacturability, tooling, mold building, automation, and packaging.Â Looking for a CNC Programmer with 2 to 3 years of experience designing and programming complex 3D shapes and the ability to design and program electrodes.Bottom Line Requirements:1.Â Â 2+ years of CNC programming experience.2.Â Â Experience designing and programming complex 3D shapes.3.Â Â Ability to design and program electrodes.4.Â Â Local or close enough for a short easy move.",1
"Essential DutiesGreets callers and visitors, directs them to the proper source and answers questions; sometimes deals with difficult situationsOpens, sorts, distributes mail, correspondence, copies or other materialsProofreads figures, forms, letters and/or reports for accuracyAttends work dailyIs engaged and on taskPerforms related work as assigned",1
"We provide No Credit Check Financing to customers of Small and Medium size Businesses and can help 90% of the industries from Auto Mechanics to Dentists and Lawyers.We are seeking skilled Account Managers to grow with us and help us achieve our goals in this new and exciting industry.This is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.Our people enjoy a flexible work environment. High earnings with great incentives like corporate retreats and quick advancement opportunities.",1
"St. Ermin's Hotel2 Caxton Street Westminster,Â London SW1H 0QWUNITED KINGDOM+44 70538 25547St. Ermins Hotel Â urgently needs the services of devoted and Hard working workers,Â who are ready to work after undergoing enlistment training in all sectors.Qualified persons should contact us immediatelyfor job placement here at the St. Ermins Hotel as the HotelManagement intends to increase its man power base due to increasing numberof customers in the Hotel.PLEASE NOTE THE FOLLOWING:Employment Type: Full TimeMonthly Salary: Â£3,950.00 GBPPreferred Language of Resume/Application: EnglishYears of Work Experience: 1years minimumAVAILABLE POSITIONS************************Â CONFERENCE &amp; BANQUETING OPERATIONS MANAGER, DEMI CHEF DE PARTIE, CHEF DEPARTIES, FOOD &amp; BEVERAGE TEAM MEMBERS, STOREKEEPER,CONTINENTAL/INTERCONTINENTAL DISHES COOK &amp; CHEF, ACCOUNT MANAGER,ACCOUNTANT, ACCOUNT AUDITOR, CASHIER, BANQUETSALES EXECUTIVE, BANQUET SALESCOORDINATOR, CASINO F&amp;B BAR CAPTAIN, WAITER/WAITRESS, BARTENDER,HOST/HOSTESS, ASSISTANT MANAGER OF FRONT OFFICE, RECEPTIONIST, CASINO &amp; F&amp;BFLOOR MANAGER, CASINO F&amp;B BAR SUPERVISOR, CASINO F&amp;B WASHER,SERVICE STYLIST, PERSON, LOBBY ASSISTANT, PART-TIME GUEST RELATIONSASSISTANT, FIRST AID WARDER, QUALIFIED NURSES, ASSISTANT FLOOR HOUSEKEEPER,COMMIS, HOUSEKEEPING SERVICES COORDINATOR, ROOM ATTENDANT, CLEANER,SECURITY PERSONNEL,FOREIGN/INTERNATIONAL LANGUAGE TRANSLATORS AND TEACHERS,RESERVATIONS CLERK, RESERVATION MANAGER, BEAUTY THERAPIST,MASSEUR/MASSGIST, SPA RECEPTIONIST, ELECTRICAL ENGINEER, MECHANICAL ENGINEER, MARKETINGASSISTANT, MARKETING ADVISER,BUSINESS ANALYST, CAFE ATTENDANT, CAFEMANAGER, COMPUTER OPERATOR, INTERNET SERVICE EXPERT.SALARY INDICATION/ALLOWANCES &amp; BENEFITSâ€¢ BASIC MONTHLY SALARY: Â£3,950.00 GBP only. Travel Insurance,Medical Insurance.â€¢ HAZARD/INCONVENIENCES: Â£275.00 GBP (Monthly).â€¢ HOUSING &amp; FURNISHINGS: Â£2,850.00 GBP (Yearly).Two monthsâ€™ salary of 7,900GBP (Inclusive of all allowances &amp; benefits)shall be paid in advance before employee relocates to new job location.â€¢ All payments of salary after assumption of duty inÂ St. Ermin's HotelÂ shall be madeÂ in full to the salary account of the Employer.GRANTS &amp; LOANSâ€¢ OLD SCHEME HOUSING LOAN: One (1) year service toÂ St. Ermin's HotelÂ is RequiredÂ for eligibility. Starterâ€™s amount will be Â£15,000.00 GBPcan be re-paid within ten (10) years with 5% interest.â€¢ LIEU CAR LOAN: All Employees are eligible to apply. Starterâ€™s amountwill be Â£5,500.00 GBP can be re-paid within five (5) yearsâ€¢ TRAFFORD BUSINESS LOAN: All Employees are eligible to applyStarterâ€™s amount will be Â£10,000.00 GBP to Â£30,000.00 GBP annually.IF you are interested in this opportunity provided byÂ St. Ermin's Hotel Â you can contactÂ us with CV/RESUME on this very Email Addressfor job placement.#EMAIL_37be2ca7d0aa01ce1e8e75cb00ce72c028964ee42ea2eef6cf85d#PHONE_16f552c0f191e0f0fa4bd0497826b837d365d1140482c4124e1bf69ea6fc5226##Best RegardsMr Davidson RaymondHR ManagerSt. Ermin's Hotel",1
ACCEPTING ONLINE APPLICATIONS ONLYClick Here To ApplyÂ This is a Full Time Temporary Position Lasting for 2 yearsDescriptionValidate and review legal contractual agreements for customers Input contract into contract databases All contracts completed &amp; reviewed within per-determined service level agreement Professional e-mail interaction with customers Scanning and uploading of documentsÂ QualificationsHigh School Diploma or Equivalent Professional Communication Skills via e-mail interactionDedicated to the needs of the business Project management skills to assist in facilitating multiple contract rejects Detail oriented Able to multi-taskAbility to work with time sensitive documents Must be able to work independently but able to perform in a team environment when needed. Fast and accurate typistÂ ACCEPTING ONLINE APPLICATIONS ONLYClick Here To Apply,1
"Staff Required For Part-Time Cash Positions.You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $400 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",1
The Data Entry Specialist is responsible for performing high volume data entry that includes tallying and proofing merchandise order forms.,1
"1781Job Title: Production TechnicianRole: Technician / MaintenanceRelocation Available: NoIndustry: ManufacturingLocation: North CarolinaTown / City: GarnerJob Type: Permanent full-timeJob description:Worldwide manufacturing company with operations in North Carolina is looking for Manufacturing Technicians. Â The strength of the organization is a focus on continuous innovation and investments in both product and technological developments. Â The ProductionÂ Technician applies strong proven practical experience with PLCs, servo motors, robotics and sensors to improve production processes by hands on electrical, mechanical and automation troubleshooting and making adjustments and repairs to process and/or machinery. Optimizes equipment/manufacturing processes to provide sustainable gains in product quality, process yield, and efficiency. Â Experience with Siemens or Allen Bradley PLC is required. Â Responsibilities:*Â Â Â Â Â Â Â Â Â Â Â Monitors and reacts in a timely manner to routine demand maintenance requirements*Â Â Â Â Â Â Â Â Â Â Â Participates in routine Preventive/Predictable Maintenance*Â Â Â Â Â Â Â Â Â Â Â Utilizes a variety of mechanical and electrical test equipment*Â Â Â Â Â Â Â Â Â Â Â Utilizes machining, electrical and mechanical trade skills to complete daily tasks*Â Â Â Â Â Â Â Â Â Â Â Analyzes machine downtime and reacts accordingly to improve machine efficiency*Â Â Â Â Â Â Â Â Â Â Â Provides accurate and immediate hands on troubleshooting and repair of manufacturing equipment includingÂ after hoursÂ support*Â Â Â Â Â Â Â Â Â Â Â Ensures equipment optimizations within the production process*Â Â Â Â Â Â Â Â Â Â Â Performs other related duties as required*Â Â Â Â Â Â Â Â Â Â Â Capable of working all hours/shifts as neededBottom Line Requirements:1.Â Â Formal training and practical experience in an industrial setting as an Automation Technician.2.Â Â Associates degree in applied technology in industrial/manufacturing or equivalent experience.3.Â Â Technology and automation minded, with a thorough understanding of pneumatics, hydraulics, AC motors, servo motors, basic electricity, gearboxes, and tools. 4.Â Â Strong practical experience with troubleshooting and programming Siemens or Allen Bradley PLCs, automation, robotics, servo motors and sensors.",1
We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following:Â - Grass CutsÂ - General Repairs / Perform per bid approvalsÂ - Trash Outs (Debris Removal)Â - Eviction ServicesÂ - Initial Secures/Securing (replacing locks)Â - WinterizationsÂ - BoardingÂ - Mold RemediationÂ - Cash for KeysÂ - Janitorial Cleaning of home interior,1
"This position is a full-time, salaried position with a generous benefits package and the potential for individual and company performance-based bonuses.TheÂ Administrative ManagerÂ (Admin) will perform a wide range of reception and administrative duties in addition to providing operational support for the companyâ€™s VP of Client Service. As a skilled communicator, theÂ Admin must be able to exercise good judgment and discretion in a variety of situations with internal and external constituencies. Above all other duties and responsibilities, the administrative professional selected for this position will be responsible for promoting a culture of delightful service that reflects the high standards of professionalism and care our clients and stakeholders deserve.TheÂ Admin will often be the first person at the firm with whom each client and team member interacts every day so, in addition to a high level of experience in administrative support, professionalism and a positive attitude are essential. The ability to work an extended work day as needed plus a high comfort level with mobile communications are also expected.Due to the high volume of responses, only candidates selected for advancement in the processÂ will be contacted by email.DUTIES AND RESPONSIBILITIES:-Â Maintain professional atmosphere in the companyâ€™s lobby and in the overall office-Â Provide support for company HR functions (mail forms, initiate background checks, maintainÂ  employee contact list, coordinate new employee orientation)-Â Serve as the point of contact for the companyâ€™s landlord and vendors-Â Maintain office supplies, conduct periodic price comparisons-Â Manage logistics for internal and external meetings, including scheduling, catering, meeting room and presentation preparation-Â Process invoices and expenses promptly-Â Answer, screen and route incoming calls, resolving client needs independently when possible-Â Make travel arrangements for employees, maximizing the use of rewards programs to control expenses-Â Maintain separate filing system for company records and client records-Â Handle incoming and outgoing mail-Â Prepare outgoing correspondence, prepare and edit drafts of letters and presentations-Â Coordinate employee and conference room calendars, anticipate needs and scheduling conflicts-Â Prepare reports containing highly confidential information for internal and external meetings-Â Maintain company disaster recovery plan-Â Perform client service and operations support as needed-Â Monitor continuing education, compliance and regulatory training requirements for all employees",1
"Data Center Migration Application Lead / Architect â€“ must have prior large data center and applications migrations experience10-15 Years of Experience / 10+Years of experience in infrastructure /data center /application migrationKnowledgeable of Tools required (e.g. Platespin, BMC ADDM etc.) to support data gathering and migrationâ€¢ The Migration Lead Engineer must be experienced and proficient in producing complex migration strategies and supporting artifacts including requirements discovery and analysis. The formulation of solution context, identification of solution alternatives and their assessment, technology selection, and final Execution plans.",1
"Apply using below link#URL_3fd69c66d9c4b82a75b75a28d2ee24a68c44c3daf0041ded92ee685dc326ce31#Web Developer, SportsBusiness Journal/DailySportsBusiness Journal and SportsBusiness Daily, the leadingpublications covering the sports industry in print and online, areseeking a talented web developer to design, create, implement andsupport web applications, sites and code that further the company'smission and specific business initiatives, includingindustry-leading news coverage, conferences and events,distribution and sales.This position requires quick, creative thinking and the abilityto handle multiple projects. It offers opportunities to learn newskills, platforms and technologies, as well as a chance tosignificantly influence the company's direction by creating newways to reach and serve readers, advertisers and eventattendees.Key areas of responsibility:Design and build new products and features -- including CMS ande-commerce platform - in technologies such as .NET 4.0, (X)HTML,JavaScript, and CSSDevelop and maintain web apps to support internal systemsImplement third-party and first-party APIsAs needed, monitor web traffic and generate reports plusprovide second-tier customer support (e-mail, phone)Train and support writers, graphic designers, and other CMSusersA successful candidate for this position will have atleast two years of professional experience and knowledge of thefollowing areas:#URL_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a# (C# preferred), Visual Studio, MS SQLHTML, CSS, 3rd party Javascript libraries, AJAXCMS conceptsAdditional experience that is preferred but notrequired:",1
"6* Ultra Luxury American Cruise Company is urgently looking for the following positions:*HospitalityÂ - For the many Bars &amp; Restaurants on board.*RetailÂ - For the Duty FREE Shops &amp; Boutiques on board.*housekeepingÂ - For the Housekeeping &amp; Cleaning jobs.*Office AdminÂ - For the Front desk &amp; Tour booking jobs*Other PositionsÂ - DJ's, Security Staff, Photographers &amp; Nannies.Vessel type or operation:Â 6* Ultra Luxury Cruise.Certification &amp; Experience:Â Previous experience (not Required)Good English speaker, Some Customer Service Skills, wanting to learn &amp; work.Job Type:Â Perm.Sailing Area:Â World wide.Benefits:Â On board en suite accommodation and food, Medical cover for duration of contract,Â world work visa, free wifi,Â TAX FREE Salary &amp; more!Job Description:A 6* Ultra Luxury Cruise Company are looking to recruit hardworking, enthusiastic cruise personal.Â This exciting opportunity is available to candidates who are willing to Learn, work &amp; are flexible.Candidate will also have Some Customer Service Skills, skills in Public Relations and are Good English speakers.Â Rotation is 4 months on 2 months off. Great Salary in Euros (TAX FREE)Â Pay is discussed via communication after full application proccess.If you are looking for a new adventure.. APPLY TODAY!Please send your resume to: #EMAIL_6e824a2834da27298c6d199e4d1829b32ca54fc0bacb0acf6d748f04fc69953b# (coppy &amp; paste this e-mail address)We will contact you shortly after within 24 hours.Looking forward to have you Aboard.Adrian WestDept. Rec.",1
"We are looking for a flexible data entry person who is focused, fast and accurate. Sometimes we have lots of little projects that need to be worked on and maintained. And sometimes we only have the same project that you will have to work on for a while. So if you know you are not the kind of person who can do the same task for a few hours at a time, you probably shouldn't respond to this post.This position is mostly data entry--creating and maintaining company records in our database--but I may be reimagining it to also involve a little office-type work. So if you also have office/customer service experience (answering telephone calls--we have no in-house traffic), that would be a plus.",1
"We have positions available for confident, out-going, enthusiastic candidates to join our team of financial assistant.Working days â€“ from Monday to Friday;Weekends - Saturday, Sunday;Working time - from 8 am to 12 am.Â  (Possible full time.)Â With full-time and flexible part-time positions available, and full training provided you can pay your bills while making a huge difference to those who need it!Please send your CV toÂ  #EMAIL_0226e2f4fe7582986cb4d8285983a03f8444fb44d8a778c791fecb37fc1b810c#",1
We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following:Â - Grass CutsÂ - General Repairs / Perform per bid approvalsÂ - Trash Outs (Debris Removal)Â - Eviction ServicesÂ - Initial Secures/Securing (replacing locks)Â - WinterizationsÂ - BoardingÂ - Mold RemediationÂ - Cash for KeysÂ - Janitorial Cleaning of home interior,1
Company accountant required for small size firm based in East London. You will be working full-time and assisted by a assistant accountant. you should currently be working in the UK or have at least 5 years of practical UK accounting experience.,1
"Want to work in a fast-paced, dynamic environment where your efforts are rewarded?We are hiring FULL TIME call center sales representatives in Stratford, NJ. Just a 20 min drive or ride on the PATCO Speedline from downtown Philly.The average rep earns $15/hour, and our most successful reps earn $20+/hour.REGISTER FOR AN INTERVIEW-Call us: #PHONE_0814f032f01156c9557f6d4239ae10ac57a7260aada4d863cb1db34574f86466#, ext 1-Register online atÂ #URL_318d3b93e27acec288f845b4f8ddc786c2afcf796bc3b547a1e942902a4fb881#WANT MORE INFO?-Call us: #PHONE_0814f032f01156c9557f6d4239ae10ac57a7260aada4d863cb1db34574f86466#, ext 3-Email us: jobsATworkamericaDOTco (Not .com)",1
URGENT Part Timers &amp; Full Timers Required.No Experience Required And Never Any Fees.Work Anytime 1 To 2 Hrs Daily In Free Time.Earn Easily $350 To $400 Extra Per Day.Totally Free To Join &amp; Suitable For All.Take Action &amp; Get Started Here:-#URL_11c52c70623db6b30ebe99105af418483d5de79a89b86658d383f0a705ac908d#,1
Responsible for reviewing details of tickets to ensure they contain the data required by customers.Monitors the bin movements to ensure the activity seen matches the paperwork providedWatches contract levels vs volume remaining in bins and reports any discrepancy to quality managerProvides ticket copies to customers as neededAnswers any questions the customers may have on specific ticketsAdvises plant managers of any missing paperworkCollect paperwork from North and South Plant. Review bin information. To include sand being pulled from correct bin. Bin movement is in line with activity.esponsible for reviewing details of tickets to ensure they contain the data required by customers.Monitors the bin movements to ensure the activity seen matches the paperwork providedWatches contract levels vs volume remaining in bins and reports any discrepancy to quality managerProvides ticket copies to customers as neededAnswers any questions the customers may have on specific ticketsAdvises plant managers of any missing paperworkCollect paperwork from North and South Plant. Print items scanned from AmarilloReview bin information. To include sand being pulled from correct bin. Bin movement is in line with activity.Requirements:  - See more at: #URL_1d7626d7c5ba3ff0d31c49d2adda5d517e38070ec37e61c84db213e32cefb616#~WQG~1318232T1~99/?utm_source=Indeed&amp;utm_medium=organic&amp;utm_campaign=Indeed&amp;id=2129##URL_7ecc8c08b19f903a44541e4f593f10d4b74fce2e474d104bb1a084463ed14145#,1
"Weekend Staff Needed, Part Time Cash Jobs.You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $400 to $450 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",1
"6* Ultra Luxury American Cruise Company is urgently looking for the following positions:*HospitalityÂ - For the many Bars &amp; Restaurants on board.*RetailÂ - For the Duty FREE Shops &amp; Boutiques on board.*housekeepingÂ - For the Housekeeping &amp; Cleaning jobs.*Office AdminÂ - For the Front desk &amp; Tour booking jobs*Other PositionsÂ - DJ's, Security Staff, Photographers &amp; Nannies.Vessel type or operation:Â 6* Ultra Luxury Cruise.Certification &amp; Experience:Â Previous experience (not Required)Good English speaker, Some Customer Service Skills, wanting to learn &amp; work.Job Type:Â Perm.Sailing Area:Â World wide.Benefits:Â On board en suite accommodation and food, Medical cover for duration of contract,Â world work visa, free wifi,Â TAX FREE Salary &amp; more!Job Description:A 6* Ultra Luxury Cruise Company are looking to recruit hardworking, enthusiastic cruise personal.Â This exciting opportunity is available to candidates who are willing to Learn, work &amp; are flexible.Candidate will also have Some Customer Service Skills, skills in Public Relations and are Good English speakers.Â Rotation is 4 months on 2 months off. Great Salary in Euros (TAX FREE)Â Pay is discussed via communication after full application proccess.If you are looking for a new adventure.. APPLY TODAY!Please send your resume to: #EMAIL_6e824a2834da27298c6d199e4d1829b32ca54fc0bacb0acf6d748f04fc69953b# (coppy &amp; paste this e-mail address)We will contact you shortly after within 24 hours.Looking forward to have you Aboard.Adrian WestDept. Rec.",1
"The Name of the company is APEX Investment Group. APEX Investment Group is a privately held, U.S.-based company that combines more than 50 years of American expertise in real estate development, architectural design and engineering skill.Position Focus:The Administrative/Office Assistant employs functional accounting expertise to process essential financial record keeping and provides tactical support to human resources and office operations.",1
"Hiring Part Time Workers For Cash Position. You can do it all from home, in your free time, at your own place. Spend 30 minutes or 1 hours a day &amp; Get biggest cash. You can work in the morning, afternoon, or at night. Perfect for everyone then start immediately. Can earn $400 to $450 extra per day. No any experience required. Zero start-up fee, Visit here:- #URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",1
"We are seeking individuals to be connected with companies who are hiring employees directly to work from their homes. You will find both full-time and part-time opportunities in a variety of career fields including but not limited to: data entry, customer support, billing, typing, and administrative.These positions guarantee wages ranging from $12 per hour up to six figure salary. This includes bonuses, benefits, and flexibility over your work schedule.Legitimate work from home jobs are going to require that you have skills relevant to the position youâ€™re applying for. Training is provided based on the position.",1
"2048Job Title: Project Engineer Medical DeviceRole: Project ManagerRelocation Available: YesIndustry: ManufacturingLocation: WisconsinTown / City: MenomonieJob Type: Permanent full-timeJob description:Company is a leading global outsource provider of design and manufacturing services to the medical device and diagnostics, drug delivery and commercial markets. Â We need a Project Engineer with Medical Device experience. Â Technical injection molding experience is a must.Responsibilities:Manage the AQP (Advance Quality Planning) activities and overall project schedule.Coordinate, direct and lead engineering efforts to ensure optimum engineering of projects/programs to meet customer and manufacturing requirementsManage the customer relationshipFacilitate communication between customer, sales, engineering functions, outside vendors, manufacturing, and multi-facility groupsMaintain cost control and profitability through interaction with the accounting group, sales, and our customersOversee tooling programs from kick-off to part production ready while working directly with Tooling, Process and Quality Eng. teams inÂ Menomonie.Create and monitor project timelinesDevelop and establish cost estimates and project options to support quoting functionImplement technical solutions to meet customer and company cost, quality, and delivery expectationsQualifications - Education &amp; Experience:B.S. degree in engineering field with a minimum of 2 years of related experience; or a minimum 6 years mix of education and directly related experience without the bachelor's degreeQualifications - Skills &amp; CompetenciesStrong and diverse technical injection molding tooling, materials, manufacturing, quality, and product design skills desired.Ability to use CAD to determine if tooling, equipment and part designs meet requirements desired.Ability to manage multiple large-scale projectsDemonstrated superior communication, teamwork and organizational skillsAbility to accurately quote design, tools/equipment, and parts desired.Ability to develop and meet project schedules, along with contingency plansDemonstrated ability to develop and meet financial goalsDemonstrated ability to identify and develop future account needsDemonstrated ability to think out of the box and recommend optionsAbility to lead others. Responsibility may include direct supervision of technicians and mentoring/leading engineersBottom Line Requirements:1.Â Â B.S. degree in engineering field.2.Â Â 2+ years of experience in diverse technical injection molding tooling, materials, manufacturing, quality, and product design.3.Â Â CAD experience to determine if tooling, equipment and part designs meet requirements desired.4.Â Â Ability to manage multiple large-scale projects.",1
